
 6714, 943.65, 8.6, -0.4, 59.4, 15567, 6.82829, 44, 2883654, (7.08, 6.59, 0.77), (-31.6875, -19.25, -16.875), (-0.00872665, -0.126536, 0.662135), 0, 0, 0
 8064, 943.64, 8.7, -0.2, 59.3, 18065, 8.70182, 62, 4063325, (6.16, 6.43, -0.45), (-34.5, -18.375, -15.375), (0.083994, 0.411243, -0.01309), 0, 0, 0
 9486, 943.62, 8.7, -0.0, 59.3, 20689, 5.79034, 43, 2818111, (6.4, 8.25, -0.74), (-31.25, -27.875, -7.75), (0.351248, -0.2498, 0.618501), 0, 0, 0
 10816, 943.61, 8.7, 0.0, 59.2, 23135, 7.13511, 52, 3407949, (6.2, 8.04, -0.75), (-30.25, -31.1875, -6.875), (0.246528, -0.221439, 0.159261), 0, 0, 0
 12151, 943.60, 8.7, 0.1, 59.1, 25891, 10.5623, 77, 5046386, (6.77, 6.94, -1.07), (-36.25, -24.25, -8.0625), (0.0294524, -0.0152716, -0.259618), 0, 0, 0
 13498, 943.60, 8.7, 0.1, 59.1, 28284, 12.116, 84, 5505152, (6.34, 7.3, -0.59), (-34.375, -26.5, -8.5), (-0.0185441, 0.0109083, 0.0469058), 0, 0, 0
 14831, 943.61, 8.7, 0.0, 59.0, 30596, 8.92378, 63, 4128863, (6.29, 7.44, -0.84), (-34.0, -26.0625, -8.375), (0.0185441, -0.0174533, 0.0436333), 0, 0, 0
 16171, 943.61, 8.7, -0.0, 58.9, 33215, 11.8222, 79, 5177467, (6.23, 7.49, -0.75), (-34.0, -26.75, -7.1875), (-0.0141808, 0.0141808, -0.0119991), 0, 0, 0
 17518, 943.61, 8.7, 0.0, 58.9, 35284, 11.9854, 79, 5177468, (6.15, 7.5, -0.82), (-32.875, -27.1875, -7.1875), (0.00545416, -0.00327249, -0.0174533), 0, 0, 0
 18874, 943.61, 8.7, -0.0, 58.8, 37729, 11.8222, 79, 5177467, (6.16, 7.52, -0.75), (-33.25, -26.75, -8.0), (0.00218166, 0.00218166, 0.0152716), 0, 0, 0
 20215, 943.62, 8.7, -0.0, 58.7, 39769, 11.7635, 78, 5111930, (6.17, 7.51, -0.78), (-32.875, -26.75, -8.6875), (0.00109083, -0.00218166, -0.00327249), 0, 0, 0
 21568, 943.62, 8.7, -0.0, 58.7, 42043, 4.04736, 30, 1966124, (6.19, 7.55, -0.77), (-33.5625, -26.5, -9.0), (-0.0119991, 0.0109083, 0.00436333), 0, 0, 0
 22916, 943.61, 8.7, -0.0, 58.6, 44263, 2.73523, 16, 1048603, (6.2, 7.51, -0.8), (-33.25, -27.5625, -8.0), (0.0207258, -0.0119991, -0.0250891), 0, 0, 0
 24254, 943.61, 8.7, -0.0, 58.5, 46317, 2.57203, 16, 1048602, (6.23, 7.54, -0.87), (-34.0, -27.1875, -9.0), (0.0523599, -0.0490874, -0.0316341), 0, 0, 0
 25592, 943.62, 8.7, -0.1, 58.4, 48627, 2.27827, 11, 720917, (5.96, 7.77, -0.82), (-32.5625, -27.1875, -8.0), (-0.00763582, -0.00436333, -0.434151), 0, 0, 0
 26941, 943.61, 8.7, 0.0, 58.4, 49992, 2.72218, 13, 851993, (4.21, 8.58, -0.58), (-26.0625, -33.1875, -8.375), (-0.00436333, 0.0141808, -0.141808), 0, 0, 0
 28285, 943.59, 8.7, 0.2, 58.3, 52074, 1.92576, 5, 327695, (5.1, 9.41, -0.23), (-29.25, -30.5625, -8.5), (-0.139626, 0.0807215, -0.103629), 0, 0, 0
 29633, 943.59, 8.7, 0.2, 58.2, 53780, 1.64506, 3, 196620, (4.07, 8.96, -0.35), (-27.5625, -33.875, -10.375), (-0.00981748, 0.0316341, -0.109083), 0, 0, 0
 30978, 943.57, 8.7, 0.3, 58.2, 55490, 1.5863, 2, 131083, (4.07, 8.76, -0.21), (-27.1875, -33.5, -9.6875), (-0.0338158, 0.00327249, 0.0163625), 0, 0, 0
 32322, 943.56, 8.7, 0.5, 58.1, 57274, 1.52755, 1, 65546, (4.08, 8.77999, -0.3), (-25.375, -37.75, -8.25), (0.0109083, -0.00654499, 0.0785399), 0, 0, 0
 33659, 943.55, 8.7, 0.6, 58.1, 59217, 1.69075, 1, 65547, (4.44, 8.64, -0.35), (-26.0625, -35.5625, -8.875), (0.00218166, 0.00545416, -0.00436333), 0, 0, 0
 35003, 943.55, 8.7, 0.5, 58.0, 60413, 1.69075, 1, 65547, (5.23, 8.19, -0.48), (-29.375, -32.375, -8.875), (-0.00218166, -0.00545416, 0.0730857), 0, 0, 0
 36353, 943.55, 8.7, 0.5, 58.0, 62534, 1.52755, 1, 65546, (6.32, 7.5, -0.41), (-33.25, -29.875, -9.1875), (-0.00654499, -0.00109083, -0.00654499), 0, 0, 0
 37696, 943.56, 8.7, 0.4, 57.9, 63723, 1.69075, 1, 65547, (5.41, 8.17, -0.5), (-30.875, -32.6875, -8.5), (0.00545416, 0.00654499, -0.0119991), 0, 0, 0
 39036, 943.57, 8.7, 0.4, 57.9, 65262, 1.69075, 1, 65547, (5.2, 8.19, -0.54), (-31.25, -31.875, -7.375), (0.00109083, 0.0185441, -0.0621774), 0, 0, 0
 40375, 943.57, 8.7, 0.4, 57.8, 66825, 1.36435, 1, 65545, (3.77, 8.9, -0.5), (-25.5625, -36.0, -7.6875), (0.00327249, -0.00218166, -0.0174533), 0, 0, 0
 41715, 943.56, 8.7, 0.4, 57.8, 68185, 1.69075, 1, 65547, (3.79, 9.07, -0.43), (-25.25, -35.875, -6.5625), (0.0250891, 0.0807215, 0.0741765), 0, 0, 0
 43049, 943.56, 8.7, 0.4, 57.7, 69717, 1.5863, 2, 131083, (8.49, 4.79, -0.46), (-37.5625, -16.0625, -10.0), (0.00109083, 0.0218166, 0.964295), 0, 0, 0
 44390, 943.55, 8.7, 0.5, 57.6, 70958, 1.4231, 2, 131082, (8.7, -4.46, -0.22), (-28.5625, 20.375, -13.25), (-0.00327249, 0.0207258, 1.02538), 0, 0, 0
 45729, 943.54, 8.7, 0.7, 57.6, 72057, 1.7495, 2, 131084, (4.79, -8.32, -0.08), (-8.5, 32.0625, -14.25), (0.00109083, -0.00327249, 0.00327249), 0, 0, 0
 47069, 943.53, 8.7, 0.7, 57.5, 73901, 1.9127, 2, 131085, (4.73, -8.34, 0.05), (-8.75, 32.0625, -14.875), (-0.00327249, -0.00327249, 0.00545416), 0, 0, 0
 48413, 943.54, 8.7, 0.6, 57.5, 75161, 1.5863, 2, 131083, (4.87, -8.27, -0.12), (-9.0625, 31.6875, -14.5), (0.00545416, -0.0174533, -0.0109083), 0, 0, 0
 49760, 943.56, 8.7, 0.5, 57.4, 76256, 1.64506, 3, 196620, (4.72, -8.33, -0.07), (-9.0625, 31.0, -14.5), (0.0, -0.00218166, -0.00109083), 0, 0, 0
 51089, 943.56, 8.7, 0.5, 57.4, 77312, 1.64506, 3, 196620, (5.22, -8.12, -0.1), (-10.0, 31.6875, -13.75), (-0.00109083, 0.00218166, -0.00872665), 0, 0, 0
